CTY_CODE,CTY_NAME,I_ENDUSE,I_ENDUSE_LDESC,GEN_VAL_MO,CON_VAL_MO,AIR_WGT_MO,CNT_WGT_MO,VES_WGT_MO,I_ENDUSE,time
3350,BOLIVIA,00010,COCOA BEANS,0,0,0,0,0,00010,2020-06
3510,BRAZIL,00010,COCOA BEANS,0,0,0,0,0,00010,2020-06
4210,NETHERLANDS,00010,COCOA BEANS,186430,186430,0,37870,37870,00010,2020-06
4279,FRANCE,00010,COCOA BEANS,0,0,0,0,0,00010,2020-06
6863,FIJI,00010,COCOA BEANS,0,0,0,0,0,00010,2020-06
7420,CAMEROON,00010,COCOA BEANS,0,0,0,0,0,00010,2020-06
7480,COTE D'IVOIRE,00010,COCOA BEANS,20935243,20935243,0,9206797,9206797,00010,2020-06
7490,GHANA,00010,COCOA BEANS,7567874,7567874,0,2524994,2524994,00010,2020-06
7530,NIGERIA,00010,COCOA BEANS,4813458,4813458,0,1967649,1967649,00010,2020-06
7630,CONGO,00010,COCOA BEANS,144544,144544,0,48831,48831,00010,2020-06
7660,DEMOCRATIC REPUBLIC OF THE CONGO,00010,COCOA BEANS,1977625,1977625,0,685633,685633,00010,2020-06
7780,UGANDA,00010,COCOA BEANS,0,0,0,0,0,00010,2020-06
4419,SWITZERLAND,00010,COCOA BEANS,17820,17820,0,1419,1419,00010,2020-06
-,TOTAL FOR ALL COUNTRIES,00010,COCOA BEANS,69310199,69310199,2429,27040615,27040615,00010,2020-06
0003,EUROPEAN UNION,00010,COCOA BEANS,186430,186430,0,37870,37870,00010,2020-06
1XXX,NORTH AMERICA,00010,COCOA BEANS,6630,6630,0,0,0,00010,2020-06
4XXX,EUROPE,00010,COCOA BEANS,204250,204250,0,39289,39289,00010,2020-06
7XXX,AFRICA,00010,COCOA BEANS,35842739,35842739,0,14551635,14551635,00010,2020-06
0014,PACIFIC RIM COUNTRIES,00010,COCOA BEANS,1187175,1187175,0,469392,469392,00010,2020-06
5XXX,ASIA,00010,COCOA BEANS,32400,32400,0,12192,12192,00010,2020-06
0017,CAFTA-DR,00010,COCOA BEANS,11149644,11149644,0,3980394,3980394,00010,2020-06
6XXX,AUSTRALIA AND OCEANIA,00010,COCOA BEANS,1154775,1154775,0,457200,457200,00010,2020-06
0020,USMCA (NAFTA),00010,COCOA BEANS,6630,6630,0,0,0,00010,2020-06
0021,TWENTY LATIN AMERICAN REPUBLICS,00010,COCOA BEANS,32070522,32070522,1404,11980299,11980299,00010,2020-06
0022,OECD,00010,COCOA BEANS,210880,210880,0,39289,39289,00010,2020-06
0023,NATO,00010,COCOA BEANS,186430,186430,0,37870,37870,00010,2020-06
0024,LAFTA,00010,COCOA BEANS,20218932,20218932,1404,7725175,7725175,00010,2020-06
0025,EURO AREA,00010,COCOA BEANS,186430,186430,0,37870,37870,00010,2020-06
0026,APEC,00010,COCOA BEANS,2962487,2962487,0,1050208,1050208,00010,2020-06
0027,ASEAN,00010,COCOA BEANS,32400,32400,0,12192,12192,00010,2020-06
0028,CACM,00010,COCOA BEANS,9158,9158,0,2148,2148,00010,2020-06
2010,MEXICO,00010,COCOA BEANS,6630,6630,0,0,0,00010,2020-06
2050,GUATEMALA,00010,COCOA BEANS,0,0,0,0,0,00010,2020-06
2080,BELIZE,00010,COCOA BEANS,0,0,0,0,0,00010,2020-06
2110,EL SALVADOR,00010,COCOA BEANS,0,0,0,0,0,00010,2020-06
2190,NICARAGUA,00010,COCOA BEANS,0,0,0,0,0,00010,2020-06
